seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12074155,0.01817086,-0.00360574
0,0.11659542,0.01966647,-0.00347123
0,0.11642627,0.02082763,-0.00346787
0,0.11733632,0.02184270,-0.00344809
0,0.11886677,0.02252878,-0.00342767
0,0.12051812,0.02325949,-0.00338385
0,0.12203938,0.02411670,-0.00336598
0,0.12332680,0.02483961,-0.00334740
0,0.12456568,0.02546819,-0.00332628
0,0.12580518,0.02587109,-0.00329589
0,0.12705198,0.02620536,-0.00328038
0,0.12833387,0.02652049,-0.00328610
0,0.12989254,0.02673003,-0.00330488
0,0.13160911,0.02703646,-0.00332849
0,0.13355391,0.02740920,-0.00335759
0,0.13542545,0.02762488,-0.00340405
0,0.13747542,0.02771733,-0.00345182
0,0.13957973,0.02779475,-0.00348814
0,0.14166403,0.02776826,-0.00353405
0,0.14386219,0.02775529,-0.00356560
0,0.14613765,0.02780317,-0.00359686
0,0.14827001,0.02785040,-0.00360102
0,0.15065272,0.02784759,-0.00362194
0,0.15320839,0.02792567,-0.00364283
0,0.15590926,0.02802469,-0.00367582
0,0.15862715,0.02805561,-0.00369946
0,0.16119646,0.02808953,-0.00370051
0,0.16385496,0.02814303,-0.00368294
0,0.16689354,0.02813676,-0.00370552
0,0.16991325,0.02816571,-0.00370828
0,0.17309934,0.02819638,-0.00373227
0,0.17665762,0.02828030,-0.00375608
0,0.18041719,0.02840620,-0.00377944
0,0.18461910,0.02839092,-0.00381053
0,0.18928370,0.02831680,-0.00387267
0,0.19455981,0.02796989,-0.00398140
0,0.20064957,0.02766249,-0.00393255
0,0.20840651,0.02713007,-0.00384475
0,0.22758171,0.02673024,-0.00338080
0,0.28387031,0.02563902,0.00106956
0,0.43044192,0.01908620,0.03354071
0,1.67758000,0.00726105,0.13921100
0,6.51029110,0.00849770,0.18794655
0,9.82511139,0.00676454,0.21952816
0,11.78813267,0.00610615,0.23423129
0,13.15359306,0.00575505,0.24267428
0,14.18946648,0.00552406,0.24833360
0,15.02469444,0.00536105,0.25265315
0,15.72226143,0.00524260,0.25607276
0,16.32290649,0.00514423,0.25888600
0,16.85012817,0.00506255,0.26128484
0,17.31663132,0.00499562,0.26340040
0,17.73392296,0.00494076,0.26528625
0,18.11145020,0.00489296,0.26693501
0,18.46007538,0.00485111,0.26841655
0,18.78217316,0.00481226,0.26973856
0,19.08240509,0.00477764,0.27093908
0,19.36327171,0.00474598,0.27203550
0,19.62776375,0.00471591,0.27305213
0,19.87692261,0.00468856,0.27398672
0,20.11284065,0.00466313,0.27485473
0,20.33620644,0.00463995,0.27566224
0,20.54940033,0.00461878,0.27642596
0,20.75165176,0.00459889,0.27714129
0,20.94535255,0.00458062,0.27781922
0,21.13064766,0.00456407,0.27845762
0,21.30885696,0.00454948,0.27906082
0,21.47952652,0.00453582,0.27962894
0,21.64401245,0.00452322,0.28017278
0,21.80242157,0.00451104,0.28069121
0,21.95499420,0.00449958,0.28118523
0,22.10269928,0.00448881,0.28166095
0,22.24546051,0.00447835,0.28211756
0,22.38344955,0.00446840,0.28255398
0,22.51774597,0.00445890,0.28297884
0,22.64787292,0.00444983,0.28338789
0,22.77391815,0.00444100,0.28378126
0,22.89655304,0.00443274,0.28416252
0,23.01579666,0.00442490,0.28453100
0,23.13184738,0.00441749,0.28488740
0,23.24507713,0.00441030,0.28523385
0,23.35503769,0.00440322,0.28556764
0,23.46243668,0.00439667,0.28589295
0,23.56700134,0.00439035,0.28620749
0,23.66899300,0.00438448,0.28651409
0,23.76853561,0.00437877,0.28681153
0,23.86595917,0.00437325,0.28710429
0,23.96080780,0.00436795,0.28738685
0,24.05363655,0.00436231,0.28766342
0,24.14447403,0.00435654,0.28793440
0,24.23330688,0.00435084,0.28819921
0,24.32040405,0.00434536,0.28845762
0,24.40575409,0.00434015,0.28870940
0,24.48948288,0.00433497,0.28895503
0,24.57137299,0.00432970,0.28919482
0,24.65177345,0.00432457,0.28942912
0,24.73065567,0.00431959,0.28965775
0,24.80817032,0.00431472,0.28988075
0,24.88425827,0.00431005,0.29009879
0,24.95888901,0.00430552,0.29031108
0,25.03232002,0.00430113,0.29051997
0,25.10437202,0.00429680,0.29072297
0,25.17530823,0.00429261,0.29092228
0,25.24501228,0.00428851,0.29111729
0,25.31349182,0.00428443,0.29130772
0,25.38088799,0.00428060,0.29149440
0,25.44707108,0.00427684,0.29167680
0,25.51237488,0.00427322,0.29185665
0,25.57649231,0.00426961,0.29203137
0,25.63975906,0.00426607,0.29220376
0,25.70201111,0.00426262,0.29237266
0,25.76321030,0.00425922,0.29253769
0,25.82341003,0.00425593,0.29269902
0,25.88296509,0.00425268,0.29285953
0,25.94149780,0.00424940,0.29301601
0,25.99930191,0.00424618,0.29317017
0,26.05620575,0.00424310,0.29332116
0,26.11221313,0.00423988,0.29346881
0,26.16745758,0.00423674,0.29361351
0,26.22197914,0.00423376,0.29375621
0,26.27566910,0.00423089,0.29389563
0,26.32872772,0.00422813,0.29403429
0,26.38103294,0.00422536,0.29417024
0,26.43268967,0.00422262,0.29430370
0,26.48367691,0.00421993,0.29443496
0,26.53406906,0.00421733,0.29456456
0,26.58377838,0.00421476,0.29469105
0,26.63289642,0.00421227,0.29481603
0,26.68138123,0.00420984,0.29493866
0,26.72924805,0.00420742,0.29505911
0,26.77656555,0.00420497,0.29517818
0,26.82324219,0.00420236,0.29529514
0,26.86928177,0.00419961,0.29541116
0,26.91472626,0.00419687,0.29552482
0,26.95971298,0.00419412,0.29563715
0,27.00405121,0.00419146,0.29574725
0,27.04803848,0.00418887,0.29585654
0,27.09154892,0.00418631,0.29596437
0,27.13465118,0.00418380,0.29607111
0,27.17720413,0.00418136,0.29617636
0,27.21928215,0.00417889,0.29628012
0,27.26095963,0.00417651,0.29638312
0,27.30218887,0.00417414,0.29648409
0,27.34301949,0.00417180,0.29658445
0,27.38329315,0.00416949,0.29668303
0,27.42317963,0.00416722,0.29677990
0,27.46271324,0.00416500,0.29687576
0,27.50173378,0.00416277,0.29696990
0,27.54037476,0.00416058,0.29706289
0,27.57861710,0.00415847,0.29715502
0,27.61642075,0.00415633,0.29724534
0,27.65389633,0.00415422,0.29733456
0,27.69092941,0.00415213,0.29742252
0,27.72762108,0.00415005,0.29750924
0,27.76402855,0.00414805,0.29759533
0,27.80008125,0.00414607,0.29767991
0,27.83579636,0.00414415,0.29776394
0,27.87108421,0.00414224,0.29784607
0,27.90614700,0.00414041,0.29792771
0,27.94077301,0.00413857,0.29800798
0,27.97511673,0.00413676,0.29808778
0,28.00917625,0.00413496,0.29816699
0,28.04302979,0.00413321,0.29824553
0,28.07641220,0.00413141,0.29832232
0,28.10952377,0.00412964,0.29839831
0,28.14236069,0.00412788,0.29847377
0,28.17485428,0.00412613,0.29854814
0,28.20710945,0.00412444,0.29862210
0,28.23909187,0.00412268,0.29869518
0,28.27074051,0.00412096,0.29876752
0,28.30212593,0.00411927,0.29883882
0,28.33319473,0.00411760,0.29890961
0,28.36401558,0.00411591,0.29897948
0,28.39458084,0.00411426,0.29904879
0,28.42484665,0.00411261,0.29911720
0,28.45492744,0.00411096,0.29918481
0,28.48464012,0.00410934,0.29925171
0,28.51419830,0.00410769,0.29931821
0,28.54351425,0.00410604,0.29938422
0,28.57256889,0.00410444,0.29944980
0,28.60142136,0.00410284,0.29951464
0,28.63007355,0.00410126,0.29957895
0,28.65843582,0.00409966,0.29964315
0,28.68662262,0.00409807,0.29970721
0,28.71453476,0.00409653,0.29977060
0,28.74228287,0.00409495,0.29983294
0,28.76977158,0.00409343,0.29989486
0,28.79704666,0.00409191,0.29995634
0,28.82413101,0.00409036,0.30001781
0,28.85100174,0.00408883,0.30007821
0,28.87763786,0.00408730,0.30013817
0,28.90407944,0.00408579,0.30019740
0,28.93038177,0.00408429,0.30025615
0,28.95647812,0.00408279,0.30031435
0,28.98229599,0.00408135,0.30037161
0,29.00802612,0.00407994,0.30042856
0,29.03352356,0.00407851,0.30048534
0,29.05881691,0.00407709,0.30054076
0,29.08398056,0.00407572,0.30059687
0,29.10891533,0.00407436,0.30065196
0,29.13372803,0.00407303,0.30070682
0,29.15835190,0.00407172,0.30076147
0,29.18278885,0.00407039,0.30081513
0,29.20705414,0.00406908,0.30086872
0,29.23117447,0.00406776,0.30092212
0,29.25501442,0.00406641,0.30097456
0,29.27873993,0.00406510,0.30102683
0,29.30239296,0.00406373,0.30107851
0,29.32596207,0.00406237,0.30113044
0,29.34927559,0.00406101,0.30118086
0,29.37249756,0.00405969,0.30123204
0,29.39554024,0.00405835,0.30128242
0,29.41837311,0.00405705,0.30133233
0,29.44113159,0.00405578,0.30138273
0,29.46377945,0.00405449,0.30143201
0,29.48624802,0.00405325,0.30148166
0,29.50861740,0.00405203,0.30153050
0,29.53088760,0.00405081,0.30157943
0,29.55302048,0.00404961,0.30162857
0,29.57500839,0.00404838,0.30167673
0,29.59678650,0.00404719,0.30172457
0,29.61851883,0.00404600,0.30177232
0,29.64008331,0.00404480,0.30181917
0,29.66146851,0.00404361,0.30186561
0,29.68280029,0.00404243,0.30191241
0,29.70393372,0.00404123,0.30195797
0,29.72493935,0.00404008,0.30200377
0,29.74579239,0.00403894,0.30204851
0,29.76656342,0.00403781,0.30209366
0,29.78725052,0.00403667,0.30213849
0,29.80781937,0.00403551,0.30218252
0,29.82819939,0.00403438,0.30222637
0,29.84846497,0.00403328,0.30227017
0,29.86870956,0.00403216,0.30231427
0,29.88868713,0.00403110,0.30235711
0,29.90874863,0.00403002,0.30240041
0,29.92849731,0.00402893,0.30244244
0,29.94825554,0.00402788,0.30248405
0,29.96788979,0.00402681,0.30252613
0,29.98741150,0.00402577,0.30256756
0,30.00689697,0.00402479,0.30260919
0,30.02611542,0.00402377,0.30265001
0,30.04534912,0.00402273,0.30269085
0,30.06444359,0.00402168,0.30273150
0,30.08345413,0.00402071,0.30277194
0,30.10229874,0.00401973,0.30281201
0,30.12108994,0.00401877,0.30285141
0,30.13985443,0.00401781,0.30289158
0,30.15836334,0.00401686,0.30293073
0,30.17679977,0.00401588,0.30296991
0,30.19517517,0.00401495,0.30300865
0,38.56731796,0.20844050,0.20690154
0,45.43756104,0.27330385,0.19161662
0,48.85060501,0.29525011,0.18451644
0,51.14933014,0.30718457,0.18031097
0,52.89812851,0.31572905,0.17725590
0,54.31258011,0.32237506,0.17493043
0,55.50328827,0.32774052,0.17307004
0,56.53265381,0.33223433,0.17150535
0,57.43958282,0.33609502,0.17015908
0,58.25214386,0.33945670,0.16898803
0,58.98823547,0.34244378,0.16795812
0,59.66209793,0.34510707,0.16704578
0,60.28313446,0.34751198,0.16623207
0,60.85970306,0.34969360,0.16549863
0,61.39857864,0.35168892,0.16483718
0,61.90435791,0.35352374,0.16423969
0,62.38069153,0.35521535,0.16369642
0,62.83109665,0.35677933,0.16320099
0,63.25821686,0.35823288,0.16274823
0,63.66417694,0.35958834,0.16233289
0,64.05088806,0.36085919,0.16194869
0,64.42055511,0.36205195,0.16159525
0,64.77435303,0.36317561,0.16126832
0,65.11343384,0.36423672,0.16096504
0,65.43908691,0.36524040,0.16068364
0,65.75197601,0.36619096,0.16041982
0,66.05315399,0.36709324,0.16017303
0,66.34343719,0.36795296,0.15994195
0,66.62386322,0.36877245,0.15972523
0,66.89440918,0.36955450,0.15951952
0,67.15588379,0.37030206,0.15932461
0,67.40874481,0.37101878,0.15913980
0,67.65390778,0.37170474,0.15896576
0,67.89163971,0.37236416,0.15880080
0,68.12233734,0.37299822,0.15864528
0,68.34652710,0.37360869,0.15849794
0,68.56444550,0.37419563,0.15835792
0,68.77665710,0.37476154,0.15822531
0,68.98300934,0.37530726,0.15809848
0,69.18386841,0.37583369,0.15797720
0,69.37970734,0.37634027,0.15786188
0,69.57065582,0.37682929,0.15775104
0,69.75684357,0.37730201,0.15764419
0,69.93847656,0.37775925,0.15754147
0,70.11584473,0.37820202,0.15744336
0,70.28901672,0.37863072,0.15734828
0,70.45776367,0.37904683,0.15725515
0,70.62315369,0.37944989,0.15716665
0,70.78477478,0.37984073,0.15708063
0,70.94126892,0.38021564,0.15699938
